Time (s),Cart Position (m),Cart Velocity (m/s),Pole Angle (rad),Pole Angular Velocity (rad/s),Control Input (N),Q0,Q1,Q2,Q3,R
1740036673.1921,0.0085,0.0374,-0.0077,-0.0384,-2.9271,11.1111,0.2500,25.0000,0.2500,0.0044
1740036673.2021,0.0088,0.0391,-0.0079,-0.0422,-3.1476,11.1111,0.2500,25.0000,0.2500,0.0044
1740036673.2121,0.0090,0.0134,-0.0081,-0.0047,-1.8835,11.1111,0.2500,25.0000,0.2500,0.0044
1740036673.2221,0.0091,0.0227,-0.0081,-0.0200,-2.4398,11.1111,0.2500,25.0000,0.2500,0.0044
1740036673.2321,0.0092,0.0089,-0.0081,-0.0001,-1.7617,11.1111,0.2500,25.0000,0.2500,0.0044
1740036673.2421,0.0092,0.0074,-0.0080,0.0006,-1.7203,11.1111,0.2500,25.0000,0.2500,0.0044
1740036673.2520,0.0093,0.0028,-0.0080,0.0064,-1.5411,11.1111,0.2500,25.0000,0.2500,0.0044
1740036673.2620,0.0093,0.0118,-0.0079,-0.0085,-2.0603,11.1111,0.2500,25.0000,0.2500,0.0044
1740036673.2721,0.0093,-0.0043,-0.0078,0.0146,-1.2468,11.1111,0.2500,25.0000,0.2500,0.0044
1740036673.2820,0.0092,0.0059,-0.0077,-0.0020,-1.8171,11.1111,0.2500,25.0000,0.2500,0.0044
1740036673.2920,0.0093,0.0017,-0.0077,0.0032,-1.6694,11.1111,0.2500,25.0000,0.2500,0.0044
1740036673.3021,0.0093,-0.0067,-0.0076,0.0147,-1.2474,11.1111,0.2500,25.0000,0.2500,0.0044
1740036673.3121,0.0092,-0.0130,-0.0075,0.0231,-0.9242,11.1111,0.2500,25.0000,0.2500,0.0044
1740036673.3220,0.0090,0.0007,-0.0072,0.0014,-1.6614,11.1111,0.2500,25.0000,0.2500,0.0044
1740036673.3321,0.0091,0.0022,-0.0073,-0.0016,-1.7947,11.1111,0.2500,25.0000,0.2500,0.0044
1740036673.3421,0.0090,-0.0115,-0.0072,0.0178,-1.1017,11.1111,0.2500,25.0000,0.2500,0.0044
1740036673.3520,0.0090,-0.0080,-0.0071,0.0114,-1.3360,11.1111,0.2500,25.0000,0.2500,0.0044
1740036673.3621,0.0089,-0.0168,-0.0070,0.0236,-0.8772,11.1111,0.2500,25.0000,0.2500,0.0044
1740036673.3721,0.0094,0.1070,-0.0077,-0.1631,-7.7807,11.1111,0.2500,25.0000,0.2500,0.0044
1740036673.3822,0.0103,0.1037,-0.0092,-0.1590,-8.0561,11.1111,0.2500,25.0000,0.2500,0.0044
1740036673.3921,0.0112,0.0582,-0.0106,-0.0917,-6.0470,11.1111,0.2500,25.0000,0.2500,0.0044
1740036673.4021,0.0115,0.0379,-0.0110,-0.0622,-5.1352,11.1111,0.2500,25.0000,0.2500,0.0044
1740036673.4120,0.0118,0.0073,-0.0115,-0.0179,-3.7340,11.1111,0.2500,25.0000,0.2500,0.0044
1740036673.4221,0.0117,0.0024,-0.0115,-0.0123,-3.5732,11.1111,0.2500,25.0000,0.2500,0.0044
1740036673.4321,0.0117,-0.0169,-0.0115,0.0155,-2.6011,11.1111,0.2500,25.0000,0.2500,0.0044
1740036673.4422,0.0113,-0.0275,-0.0111,0.0293,-2.0373,11.1111,0.2500,25.0000,0.2500,0.0044
1740036673.4529,0.0110,-0.0389,-0.0108,0.0451,-1.4239,11.1111,0.2500,25.0000,0.2500,0.0044
1740036673.4621,0.0106,-0.0244,-0.0103,0.0215,-2.1781,11.1111,0.2500,25.0000,0.2500,0.0044
1740036673.4721,0.0103,-0.0384,-0.0100,0.0411,-1.4361,11.1111,0.2500,25.0000,0.2500,0.0044
1740036673.4821,0.0099,-0.0256,-0.0096,0.0204,-2.0983,11.1111,0.2500,25.0000,0.2500,0.0044
1740036673.4920,0.0097,-0.0309,-0.0094,0.0267,-1.8647,11.1111,0.2500,25.0000,0.2500,0.0044
1740036673.5021,0.0093,-0.0351,-0.0090,0.0316,-1.6316,11.1111,0.2500,25.0000,0.2500,0.0044
1740036673.5121,0.0089,-0.0460,-0.0086,0.0464,-1.0297,11.1111,0.2500,25.0000,0.2500,0.0044
1740036673.5221,0.0084,-0.0481,-0.0081,0.0482,-0.8655,11.1111,0.2500,25.0000,0.2500,0.0044
1740036673.5321,0.0080,-0.0498,-0.0078,0.0497,-0.7382,11.1111,0.2500,25.0000,0.2500,0.0044
1740036673.5421,0.0073,-0.0751,-0.0070,0.0861,0.7173,11.1111,0.2500,25.0000,0.2500,0.0044
1740036673.5523,0.0066,-0.0661,-0.0062,0.0713,0.3670,11.1111,0.2500,25.0000,0.2500,0.0044
1740036673.5621,0.0060,-0.0792,-0.0056,0.0901,1.1801,11.1111,0.2500,25.0000,0.2500,0.0044
1740036673.5721,0.0051,-0.0852,-0.0045,0.0980,1.7228,11.1111,0.2500,25.0000,0.2500,0.0044
