Time (s),Cart Position (m),Cart Velocity (m/s),Pole Angle (rad),Pole Angular Velocity (rad/s),Control Input (N)
1740021136.9453,-0.0001,-0.0477,0.0002,0.0716,2.6059
1740021136.9553,-0.0005,-0.0254,0.0007,0.0380,1.5479
1740021136.9653,-0.0012,-0.1490,0.0018,0.2234,8.4613
1740021136.9753,-0.0023,-0.0768,0.0034,0.1149,5.0300
1740021136.9852,-0.0036,-0.2336,0.0053,0.3503,13.9669
1740021136.9953,-0.0052,-0.1152,0.0079,0.1727,8.3117
1740021137.0052,-0.0069,-0.2805,0.0103,0.4213,17.8768
1740021137.0152,-0.0092,-0.1689,0.0139,0.2545,12.9051
1740021137.0252,-0.0112,-0.2785,0.0168,0.4204,19.6653
1740021137.0352,-0.0130,-0.1305,0.0195,0.1997,12.5445
1740021137.0452,-0.0145,-0.2348,0.0218,0.3586,18.9150
1740021137.0553,-0.0163,-0.1130,0.0247,0.1783,13.3053
1740021137.0652,-0.0173,-0.1297,0.0263,0.2067,14.8320
1740021137.0752,-0.0182,-0.0290,0.0277,0.0590,10.0162
1740021137.0853,-0.0182,-0.0086,0.0279,0.0324,9.2317
1740021137.0952,-0.0180,0.0545,0.0278,-0.0580,6.0623
1740021137.1053,-0.0172,0.0892,0.0270,-0.1059,4.2165
1740021137.1152,-0.0163,0.1143,0.0258,-0.1398,2.7913
1740021137.1252,-0.0149,0.1674,0.0241,-0.2152,-0.2791
1740021137.1353,-0.0132,0.1645,0.0219,-0.2068,-0.4691
1740021137.1452,-0.0113,0.2318,0.0195,-0.3040,-4.5090
1740021137.1552,-0.0091,0.2001,0.0166,-0.2529,-3.3732
1740021137.1653,-0.0068,0.2848,0.0137,-0.3769,-8.5217
1740021137.1752,-0.0044,0.2058,0.0106,-0.2556,-4.9588
1740021137.1853,-0.0024,0.2700,0.0080,-0.3499,-8.9820
1740021137.1953,0.0001,0.2064,0.0049,-0.2525,-6.2860
1740021137.2052,0.0023,0.2699,0.0022,-0.3464,-10.3444
1740021137.2152,0.0047,0.1982,-0.0008,-0.2379,-7.2437
1740021137.2252,0.0067,0.2358,-0.0033,-0.2939,-9.8815
1740021137.2352,0.0087,0.1658,-0.0057,-0.1887,-6.7745
1740021137.2452,0.0104,0.1916,-0.0076,-0.2277,-8.6732
1740021137.2552,0.0120,0.1301,-0.0095,-0.1361,-5.9036
1740021137.2652,0.0132,0.1212,-0.0107,-0.1238,-5.7927
1740021137.2752,0.0142,0.0777,-0.0116,-0.0599,-3.7701
1740021137.2852,0.0149,0.0600,-0.0120,-0.0349,-3.0077
1740021137.2952,0.0153,0.0364,-0.0122,-0.0012,-1.8694
1740021137.3052,0.0155,-0.0180,-0.0118,0.0785,1.0531
1740021137.3152,0.0153,-0.0159,-0.0110,0.0734,1.0665
1740021137.3252,0.0148,-0.0933,-0.0099,0.1878,5.4495
1740021137.3352,0.0142,-0.0509,-0.0085,0.1225,3.4665
1740021137.3452,0.0134,-0.1358,-0.0068,0.2483,8.3943
1740021137.3552,0.0122,-0.0842,-0.0047,0.1693,6.1486
1740021137.3653,0.0110,-0.1961,-0.0024,0.3361,12.7109
1740021137.3752,0.0097,-0.0991,-0.0001,0.1895,8.0924
1740021137.3852,0.0081,-0.2755,0.0026,0.4538,18.2906
1740021137.3952,0.0058,-0.1637,0.0065,0.2853,13.3386
1740021137.4052,0.0037,-0.3179,0.0100,0.5169,22.5885
1740021137.4152,0.0012,-0.1733,0.0143,0.3005,16.0458
1740021137.4252,-0.0010,-0.3406,0.0180,0.5527,26.1052
1740021137.4352,-0.0037,-0.1736,0.0225,0.3038,18.4866
1740021137.4452,-0.0059,-0.3486,0.0262,0.5688,29.0363
1740021137.4552,-0.0086,-0.1631,0.0307,0.2932,20.5059
1740021137.4652,-0.0105,-0.2883,0.0340,0.4848,28.3403
1740021137.4752,-0.0125,-0.1043,0.0377,0.2129,19.7387
1740021137.4852,-0.0136,-0.1893,0.0399,0.3454,25.2143
1740021137.4952,-0.0148,-0.0255,0.0423,0.1051,17.4189
1740021137.5052,-0.0149,-0.0417,0.0431,0.1354,18.8780
1740021137.5153,-0.0147,0.0821,0.0437,-0.0441,12.7672
1740021137.5252,-0.0135,0.1477,0.0426,-0.1359,9.3832
1740021137.5353,-0.0119,0.2064,0.0410,-0.2178,6.1673
1740021137.5452,-0.0095,0.2713,0.0384,-0.3086,2.3758
1740021137.5553,-0.0067,0.2832,0.0352,-0.3200,1.2656
1740021137.5652,-0.0032,0.4465,0.0310,-0.5588,-8.2337
1740021137.5752,0.0011,0.3928,0.0257,-0.4725,-6.4386
1740021137.5853,0.0056,0.5452,0.0203,-0.6962,-15.7758
1740021137.5952,0.0106,0.4368,0.0140,-0.5289,-11.3826
1740021137.6053,0.0154,0.5832,0.0081,-0.7453,-20.6059
1740021137.6152,0.0206,0.4409,0.0015,-0.5291,-14.5658
1740021137.6252,0.0251,0.5293,-0.0039,-0.6602,-20.6723
1740021137.6352,0.0298,0.3825,-0.0096,-0.4391,-14.2464
1740021137.6452,0.0338,0.4796,-0.0142,-0.5851,-20.6970
1740021137.6552,0.0379,0.3359,-0.0191,-0.3705,-14.3451
1740021137.6653,0.0411,0.3384,-0.0226,-0.3761,-15.4886
1740021137.6752,0.0436,0.2180,-0.0251,-0.1979,-9.8111
1740021137.6852,0.0455,0.1964,-0.0267,-0.1687,-9.2420
1740021137.6952,0.0471,0.1267,-0.0279,-0.0677,-5.9953
1740021137.7053,0.0479,0.0190,-0.0278,0.0898,-0.3943
1740021137.7152,0.0479,0.0049,-0.0267,0.1066,0.4457
1740021137.7252,0.0477,-0.0680,-0.0253,0.2117,4.5503
1740021137.7352,0.0471,-0.0420,-0.0233,0.1685,3.4935
1740021137.7452,0.0464,-0.1219,-0.0212,0.2846,8.1566
1740021137.7552,0.0456,-0.0519,-0.0190,0.1758,4.8370
1740021137.7653,0.0450,-0.0956,-0.0172,0.2384,7.5255
1740021137.7753,0.0442,-0.0451,-0.0152,0.1596,5.2336
1740021137.7852,0.0440,-0.0171,-0.0139,0.1150,3.9723
1740021137.7952,0.0440,0.0156,-0.0130,0.0638,2.3589
1740021137.8053,0.0445,0.1117,-0.0130,-0.0822,-2.8815
1740021137.8152,0.0456,0.1005,-0.0139,-0.0672,-2.5836
1740021137.8252,0.0474,0.2948,-0.0157,-0.3605,-13.5622
1740021137.8352,0.0501,0.2166,-0.0189,-0.2446,-10.3092
1740021137.8452,0.0531,0.4752,-0.0227,-0.6346,-25.2959
1740021137.8552,0.0573,0.3196,-0.0282,-0.4032,-18.5450
1740021137.8652,0.0613,0.5845,-0.0334,-0.8036,-34.3220
1740021137.8752,0.0663,0.3660,-0.0402,-0.4791,-24.6179
1740021137.8852,0.0708,0.6621,-0.0462,-0.9278,-42.3734
1740021137.8952,0.0763,0.3913,-0.0539,-0.5268,-30.2303
1740021137.9052,0.0807,0.6167,-0.0599,-0.8710,-44.2832
1740021137.9152,0.0856,0.3276,-0.0668,-0.4451,-31.1012
1740021137.9252,0.0892,0.5150,-0.0717,-0.7344,-42.9522
1740021137.9352,0.0931,0.2350,-0.0773,-0.3244,-30.0360
1740021137.9452,0.0954,0.3361,-0.0806,-0.4863,-36.9252
1740021137.9552,0.0977,0.0934,-0.0839,-0.1343,-25.5029
1740021137.9652,0.0984,0.1116,-0.0849,-0.1736,-27.4560
1740021137.9752,0.0984,-0.0811,-0.0851,0.1034,-17.8693
1740021137.9852,0.0970,-0.1677,-0.0833,0.2201,-13.4879
1740021137.9952,0.0949,-0.2575,-0.0804,0.3416,-8.6680
1740021138.0052,0.0917,-0.3958,-0.0761,0.5357,-0.8512
1740021138.0152,0.0876,-0.3997,-0.0706,0.5290,0.1084
1740021138.0252,0.0829,-0.5793,-0.0644,0.7862,10.7195
1740021138.0352,0.0774,-0.5047,-0.0569,0.6632,8.0895
1740021138.0452,0.0717,-0.7015,-0.0494,0.9481,20.0723
1740021138.0552,0.0652,-0.5626,-0.0408,0.7305,14.4218
1740021138.0652,0.0589,-0.7796,-0.0325,1.0482,27.8155
1740021138.0753,0.0530,-0.5534,-0.0248,0.7026,17.4009
1740021138.0852,0.0470,-0.7378,-0.0172,0.9739,29.0314
1740021138.0952,0.0405,-0.5380,-0.0087,0.6694,20.3203
1740021138.1052,0.0347,-0.7140,-0.0014,0.9307,31.5339
1740021138.1152,0.0285,-0.4978,0.0065,0.6040,21.9263
1740021138.1252,0.0233,-0.6357,0.0128,0.8105,30.9852
1740021138.1352,0.0179,-0.4222,0.0195,0.4904,21.3386
1740021138.1452,0.0138,-0.4795,0.0243,0.5780,25.7653
1740021138.1552,0.0098,-0.2979,0.0289,0.3081,17.3704
1740021138.1653,0.0069,-0.3319,0.0318,0.3627,20.1631
1740021138.1752,0.0047,-0.1794,0.0340,0.1374,12.7376
1740021138.1852,0.0030,-0.2063,0.0352,0.1826,14.7564
1740021138.1952,0.0014,-0.1055,0.0364,0.0362,9.9053
1740021138.2052,0.0003,-0.1374,0.0368,0.0894,11.9803
1740021138.2152,-0.0007,-0.0581,0.0371,-0.0244,8.0985
1740021138.2252,-0.0012,-0.0722,0.0368,0.0024,9.0564
1740021138.2352,-0.0015,-0.0007,0.0363,-0.0993,5.3583
1740021138.2452,-0.0016,-0.0251,0.0355,-0.0577,6.7105
1740021138.2552,-0.0017,0.0168,0.0347,-0.1152,4.5155
1740021138.2652,-0.0017,-0.0490,0.0339,-0.0112,8.0923
1740021138.2752,-0.0020,-0.0024,0.0335,-0.0760,5.7624
1740021138.2852,-0.0021,-0.0424,0.0329,-0.0109,8.0042
1740021138.2952,-0.0023,0.0064,0.0325,-0.0792,5.5394
1740021138.3052,-0.0023,-0.0252,0.0319,-0.0269,7.3040
1740021138.3152,-0.0024,0.0193,0.0313,-0.0889,5.0275
1740021138.3252,-0.0023,-0.0164,0.0306,-0.0305,6.9915
1740021138.3353,-0.0023,0.0253,0.0300,-0.0884,4.8543
1740021138.3452,-0.0021,-0.0076,0.0293,-0.0344,6.6595
1740021138.3552,-0.0019,0.0431,0.0285,-0.1060,3.9818
1740021138.3653,-0.0016,0.0062,0.0278,-0.0468,5.9654
1740021138.3752,-0.0014,0.0409,0.0271,-0.0945,4.1580
1740021138.3853,-0.0011,0.0070,0.0263,-0.0395,5.9866
1740021138.3952,-0.0009,0.0416,0.0257,-0.0874,4.1908
1740021138.4052,-0.0006,0.0005,0.0251,-0.0218,6.4237
1740021138.4152,-0.0004,0.0375,0.0246,-0.0736,4.5333
1740021138.4252,-0.0000,0.0288,0.0239,-0.0567,5.0070
1740021138.4352,0.0004,0.0591,0.0231,-0.0985,3.3825
1740021138.4453,0.0010,0.0401,0.0222,-0.0664,4.3562
1740021138.4552,0.0015,0.0646,0.0214,-0.0996,3.0230
1740021138.4652,0.0021,0.0515,0.0205,-0.0766,3.6583
1740021138.4752,0.0027,0.0744,0.0196,-0.1080,2.3673
1740021138.4852,0.0034,0.0707,0.0185,-0.0994,2.4489
1740021138.4952,0.0042,0.0832,0.0175,-0.1152,1.6597
1740021138.5052,0.0052,0.1267,0.0161,-0.1775,-0.8911
1740021138.5153,0.0065,0.1204,0.0143,-0.1653,-0.8707
1740021138.5252,0.0080,0.1966,0.0122,-0.2771,-5.3702
1740021138.5352,0.0098,0.1618,0.0097,-0.2224,-4.0620
1740021138.5452,0.0117,0.2327,0.0071,-0.3269,-8.4406
1740021138.5552,0.0138,0.1756,0.0042,-0.2395,-6.0705
1740021138.5652,0.0161,0.3467,0.0009,-0.4950,-16.0583
1740021138.5753,0.0188,0.2070,-0.0029,-0.2842,-9.5282
1740021138.5852,0.0210,0.3437,-0.0060,-0.4891,-17.6831
1740021138.5952,0.0240,0.2324,-0.0102,-0.3218,-12.8539
1740021138.6052,0.0270,0.4364,-0.0144,-0.6286,-24.9586
1740021138.6152,0.0307,0.2778,-0.0197,-0.3914,-17.9526
1740021138.6252,0.0342,0.4947,-0.0246,-0.7188,-31.0166
1740021138.6352,0.0374,0.2591,-0.0293,-0.3673,-19.7819
1740021138.6452,0.0405,0.4451,-0.0337,-0.6496,-31.1242
1740021138.6552,0.0441,0.2443,-0.0389,-0.3521,-22.0042
1740021138.6652,0.0468,0.4022,-0.0430,-0.5937,-31.8329
1740021138.6753,0.0500,0.1951,-0.0476,-0.2884,-22.3052
1740021138.6852,0.0519,0.2823,-0.0506,-0.4254,-28.1455
1740021138.6953,0.0539,0.0966,-0.0536,-0.1537,-19.4195
1740021138.7052,0.0546,0.0847,-0.0548,-0.1436,-19.5426
1740021138.7153,0.0547,-0.0532,-0.0551,0.0560,-12.6541
1740021138.7252,0.0537,-0.1367,-0.0538,0.1728,-8.3257
1740021138.7352,0.0520,-0.1943,-0.0516,0.2508,-5.1402
1740021138.7452,0.0495,-0.3210,-0.0483,0.4323,2.0527
1740021138.7553,0.0462,-0.3080,-0.0440,0.4047,2.0512
1740021138.7653,0.0425,-0.4759,-0.0391,0.6489,11.9413
1740021138.7752,0.0380,-0.3964,-0.0330,0.5225,8.9004
1740021138.7853,0.0335,-0.5679,-0.0270,0.7737,19.3536
1740021138.7952,0.0284,-0.4366,-0.0201,0.5709,13.8536
1740021138.8052,0.0234,-0.6385,-0.0135,0.8696,26.1983
1740021138.8153,0.0183,-0.4070,-0.0068,0.5185,15.3883
1740021138.8253,0.0137,-0.5943,-0.0008,0.7972,26.9027
1740021138.8353,0.0094,-0.3827,0.0048,0.4781,16.9631
1740021138.8453,0.0055,-0.4654,0.0097,0.6018,22.6702
1740021138.8552,0.0016,-0.3074,0.0146,0.3648,15.5335
1740021138.8652,-0.0012,-0.2921,0.0178,0.3432,15.6370
1740021138.8752,-0.0036,-0.1763,0.0204,0.1714,10.2206
1740021138.8852,-0.0048,-0.0917,0.0214,0.0474,6.0848
1740021138.8952,-0.0054,-0.0393,0.0215,-0.0282,3.4341
1740021138.9052,-0.0052,0.1159,0.0202,-0.2578,-5.0748
1740021138.9152,-0.0040,0.0944,0.0176,-0.2219,-4.4405
1740021138.9252,-0.0023,0.2911,0.0143,-0.5138,-15.7237
1740021138.9352,0.0002,0.1971,0.0097,-0.3694,-11.7873
1740021138.9453,0.0026,0.3383,0.0054,-0.5790,-20.4162
1740021138.9552,0.0054,0.2052,0.0005,-0.3773,-14.5444
1740021138.9652,0.0079,0.3561,-0.0039,-0.6027,-23.7915
1740021138.9752,0.0108,0.2015,-0.0089,-0.3700,-16.8652
1740021138.9852,0.0128,0.2661,-0.0127,-0.4675,-21.3984
1740021138.9952,0.0149,0.1213,-0.0164,-0.2510,-14.7207
1740021139.0052,0.0158,0.1190,-0.0186,-0.2495,-15.3265
1740021139.0153,0.0163,-0.0047,-0.0200,-0.0662,-9.2548
1740021139.0252,0.0161,-0.0308,-0.0204,-0.0295,-8.1198
1740021139.0352,0.0155,-0.0876,-0.0203,0.0526,-5.2401
1740021139.0452,0.0141,-0.2113,-0.0189,0.2350,1.5524
1740021139.0552,0.0119,-0.2067,-0.0165,0.2248,1.7449
1740021139.0652,0.0092,-0.3737,-0.0133,0.4723,11.3664
1740021139.0752,0.0057,-0.3028,-0.0089,0.3629,8.5525
1740021139.0852,0.0021,-0.4782,-0.0045,0.6238,19.0159
1740021139.0952,-0.0022,-0.3537,0.0010,0.4350,13.6985
1740021139.1052,-0.0060,-0.4875,0.0059,0.6349,22.1121
1740021139.1152,-0.0103,-0.3378,0.0113,0.4097,15.4988
1740021139.1252,-0.0137,-0.4160,0.0155,0.5279,20.8549
1740021139.1352,-0.0173,-0.2714,0.0198,0.3121,14.3204
1740021139.1452,-0.0201,-0.3573,0.0232,0.4431,19.9396
1740021139.1552,-0.0226,-0.2049,0.0260,0.2167,12.6507
1740021139.1652,-0.0245,-0.2257,0.0280,0.2513,14.4798
1740021139.1752,-0.0263,-0.1248,0.0299,0.1036,9.7544
1740021139.1852,-0.0273,-0.0899,0.0305,0.0554,8.2702
1740021139.1953,-0.0278,-0.0234,0.0305,-0.0399,4.9429
1740021139.2053,-0.0278,0.0198,0.0299,-0.1005,2.6657
1740021139.2152,-0.0275,0.0411,0.0287,-0.1278,1.4465
1740021139.2252,-0.0267,0.1311,0.0269,-0.2583,-3.6340
1740021139.2352,-0.0254,0.1110,0.0244,-0.2235,-2.9978
1740021139.2452,-0.0240,0.2095,0.0217,-0.3671,-8.8042
1740021139.2552,-0.0221,0.1532,0.0183,-0.2787,-6.4874
1740021139.2652,-0.0202,0.2737,0.0150,-0.4560,-13.6789
1740021139.2752,-0.0178,0.1853,0.0110,-0.3202,-9.8733
1740021139.2852,-0.0158,0.2559,0.0076,-0.4238,-14.4630
1740021139.2952,-0.0136,0.1576,0.0040,-0.2742,-10.0699
1740021139.3053,-0.0123,0.1358,0.0016,-0.2403,-9.4956
1740021139.3152,-0.0113,0.0647,-0.0003,-0.1330,-6.1695
1740021139.3252,-0.0109,0.0360,-0.0013,-0.0896,-4.9043
1740021139.3352,-0.0107,-0.0014,-0.0019,-0.0336,-3.0816
1740021139.3452,-0.0110,-0.0552,-0.0018,0.0469,-0.2082
1740021139.3552,-0.0116,-0.0607,-0.0013,0.0547,0.2032
1740021139.3652,-0.0124,-0.1157,-0.0004,0.1369,3.3597
1740021139.3752,-0.0135,-0.0954,0.0009,0.1060,2.5832
1740021139.3852,-0.0147,-0.1692,0.0023,0.2168,6.9175
1740021139.3952,-0.0162,-0.1255,0.0042,0.1509,5.0760
1740021139.4052,-0.0178,-0.2216,0.0062,0.2954,10.7685
1740021139.4153,-0.0198,-0.1529,0.0088,0.1926,7.7875
1740021139.4252,-0.0217,-0.2731,0.0112,0.3738,14.9431
1740021139.4352,-0.0240,-0.1777,0.0144,0.2314,10.7294
1740021139.4452,-0.0261,-0.2865,0.0171,0.3963,17.3916
1740021139.4552,-0.0281,-0.1399,0.0199,0.1780,10.3743
1740021139.4652,-0.0295,-0.2202,0.0218,0.3007,15.3051
1740021139.4753,-0.0313,-0.1222,0.0242,0.1563,10.8490
1740021139.4852,-0.0327,-0.1957,0.0260,0.2697,15.4514
1740021139.4952,-0.0342,-0.0950,0.0280,0.1220,10.7998
1740021139.5053,-0.0354,-0.1954,0.0297,0.2764,16.8416
1740021139.5152,-0.0366,-0.0711,0.0312,0.0933,10.7994
1740021139.5252,-0.0374,-0.1475,0.0324,0.2123,15.4611
1740021139.5352,-0.0385,-0.0493,0.0339,0.0693,10.8614
1740021139.5452,-0.0389,-0.0760,0.0346,0.1143,12.7502
1740021139.5552,-0.0393,0.0073,0.0352,-0.0057,8.7346
1740021139.5652,-0.0392,-0.0138,0.0351,0.0311,10.1398
1740021139.5752,-0.0391,0.0504,0.0350,-0.0600,6.9726
1740021139.5852,-0.0382,0.1177,0.0339,-0.1556,3.3775
1740021139.5953,-0.0369,0.1422,0.0321,-0.1869,1.8997
1740021139.6052,-0.0349,0.2624,0.0295,-0.3620,-4.9414
1740021139.6152,-0.0324,0.2324,0.0261,-0.3117,-3.9747
1740021139.6252,-0.0297,0.3449,0.0224,-0.4759,-10.7301
1740021139.6352,-0.0265,0.2726,0.0181,-0.3631,-7.7717
1740021139.6452,-0.0231,0.4673,0.0135,-0.6516,-19.2441
1740021139.6552,-0.0194,0.2971,0.0084,-0.3929,-11.3033
1740021139.6652,-0.0159,0.5275,0.0036,-0.7367,-24.8273
1740021139.6753,-0.0112,0.3669,-0.0028,-0.4935,-17.8265
1740021139.6852,-0.0069,0.5943,-0.0087,-0.8339,-31.5621
1740021139.6952,-0.0018,0.3883,-0.0158,-0.5242,-22.4026
1740021139.7052,0.0027,0.6106,-0.0219,-0.8589,-36.0415
1740021139.7152,0.0068,0.3352,-0.0276,-0.4470,-22.8877
1740021139.7252,0.0104,0.4794,-0.0324,-0.6663,-32.0844
1740021139.7352,0.0142,0.2662,-0.0377,-0.3499,-22.2869
1740021139.7452,0.0169,0.3392,-0.0412,-0.4642,-27.4045
1740021139.7552,0.0194,0.1543,-0.0446,-0.1921,-18.7185
1740021139.7652,0.0208,0.1749,-0.0463,-0.2291,-20.6204
1740021139.7752,0.0219,0.0355,-0.0476,-0.0266,-13.8860
1740021139.7852,0.0218,-0.0352,-0.0472,0.0723,-10.3835
1740021139.7952,0.0210,-0.1091,-0.0459,0.1759,-6.4863
1740021139.8052,0.0196,-0.1745,-0.0437,0.2668,-2.7818
1740021139.8152,0.0177,-0.1922,-0.0409,0.2862,-1.4719
1740021139.8252,0.0152,-0.3255,-0.0372,0.4793,6.2748
1740021139.8352,0.0121,-0.2854,-0.0326,0.4126,4.9997
1740021139.8452,0.0090,-0.3610,-0.0282,0.5201,9.9198
1740021139.8552,0.0057,-0.2890,-0.0235,0.4068,7.0408
1740021139.8652,0.0027,-0.3525,-0.0192,0.4978,11.3478
1740021139.8752,-0.0005,-0.2704,-0.0148,0.3706,7.9187
1740021139.8852,-0.0032,-0.3085,-0.0111,0.4247,10.7934
1740021139.8952,-0.0056,-0.2205,-0.0080,0.2904,6.7939
1740021139.9052,-0.0075,-0.1813,-0.0055,0.2299,5.2585
1740021139.9152,-0.0091,-0.1351,-0.0035,0.1592,3.2164
1740021139.9252,-0.0100,-0.0448,-0.0026,0.0229,-1.4206
1740021139.9352,-0.0104,-0.0424,-0.0025,0.0189,-1.5552
1740021139.9453,-0.0102,0.1014,-0.0031,-0.1972,-9.4761
1740021139.9552,-0.0094,0.0508,-0.0049,-0.1213,-7.2579
1740021139.9652,-0.0083,0.2083,-0.0069,-0.3580,-16.2862
1740021139.9752,-0.0066,0.1101,-0.0099,-0.2108,-11.8756
1740021139.9852,-0.0052,0.2384,-0.0125,-0.4043,-19.5423
1740021139.9952,-0.0033,0.1142,-0.0158,-0.2190,-13.8568
1740021140.0052,-0.0019,0.2333,-0.0184,-0.3995,-21.0749
1740021140.0152,-0.0001,0.0984,-0.0216,-0.1989,-14.8291
1740021140.0252,0.0008,0.1243,-0.0235,-0.2405,-16.9077
1740021140.0353,0.0013,0.0017,-0.0247,-0.0593,-10.8492
1740021140.0452,0.0009,-0.0722,-0.0247,0.0479,-7.0997
1740021140.0552,-0.0001,-0.1243,-0.0238,0.1223,-4.2991
1740021140.0652,-0.0022,-0.2999,-0.0214,0.3819,5.5068
1740021140.0752,-0.0051,-0.2715,-0.0177,0.3351,4.7517
1740021140.0852,-0.0086,-0.4832,-0.0132,0.6492,17.1028
1740021140.0952,-0.0123,-0.3442,-0.0084,0.4377,10.7650
1740021140.1052,-0.0166,-0.6026,-0.0027,0.8230,25.9978
1740021140.1152,-0.0220,-0.4368,0.0045,0.5720,18.9429
1740021140.1252,-0.0273,-0.7538,0.0117,1.0470,37.8333
1740021140.1352,-0.0339,-0.5105,0.0207,0.6814,27.1984
1740021140.1452,-0.0398,-0.8036,0.0287,1.1224,45.1347
1740021140.1552,-0.0466,-0.5079,0.0381,0.6807,31.9374
1740021140.1652,-0.0523,-0.7728,0.0458,1.0819,48.4330
1740021140.1752,-0.0586,-0.4541,0.0547,0.6086,34.0159
1740021140.1852,-0.0634,-0.6342,0.0611,0.8851,45.7681
1740021140.1952,-0.0684,-0.3295,0.0680,0.4361,31.7605
1740021140.2052,-0.0718,-0.4640,0.0725,0.6464,40.6801
1740021140.2152,-0.0746,-0.1322,0.0763,0.1594,24.5258
1740021140.2252,-0.0759,-0.1956,0.0779,0.2640,28.8954
1740021140.2352,-0.0769,-0.0032,0.0793,-0.0128,19.6256
1740021140.2452,-0.0766,0.0246,0.0786,-0.0426,18.6384
1740021140.2552,-0.0757,0.1473,0.0774,-0.2145,12.4168
1740021140.2652,-0.0737,0.2362,0.0745,-0.3355,7.5815
1740021140.2752,-0.0711,0.2850,0.0708,-0.3967,4.6437
1740021140.2852,-0.0678,0.3861,0.0662,-0.5366,-1.3423
1740021140.2952,-0.0639,0.3718,0.0609,-0.5043,-1.3818
1740021140.3052,-0.0598,0.4835,0.0553,-0.6614,-8.2784
1740021140.3152,-0.0552,0.4211,0.0491,-0.5583,-6.0688
1740021140.3252,-0.0508,0.4946,0.0433,-0.6598,-11.0719
1740021140.3352,-0.0462,0.4093,0.0373,-0.5242,-7.6739
1740021140.3452,-0.0420,0.4802,0.0319,-0.6238,-12.5456
1740021140.3552,-0.0382,0.3726,0.0271,-0.4570,-7.7460
1740021140.3652,-0.0342,0.4796,0.0221,-0.6124,-14.5147
1740021140.3752,-0.0298,0.3769,0.0166,-0.4537,-10.2015
1740021140.3852,-0.0261,0.3955,0.0123,-0.4781,-12.1597
1740021140.3952,-0.0226,0.3017,0.0081,-0.3345,-8.0527
1740021140.4052,-0.0197,0.3038,0.0050,-0.3358,-8.8782
1740021140.4152,-0.0170,0.2338,0.0022,-0.2293,-5.7790
1740021140.4252,-0.0146,0.2651,-0.0002,-0.2754,-8.0069
1740021140.4352,-0.0124,0.1919,-0.0023,-0.1650,-4.5932
1740021140.4452,-0.0106,0.2230,-0.0039,-0.2116,-6.6603
1740021140.4552,-0.0086,0.1735,-0.0057,-0.1375,-4.4648
1740021140.4652,-0.0066,0.2366,-0.0074,-0.2327,-8.2859
1740021140.4752,-0.0047,0.1628,-0.0091,-0.1225,-4.7894
1740021140.4852,-0.0030,0.2309,-0.0105,-0.2256,-8.8551
1740021140.4952,-0.0009,0.1710,-0.0124,-0.1369,-6.1847
1740021140.5052,0.0008,0.2083,-0.0139,-0.1943,-8.6275
1740021140.5152,0.0027,0.1482,-0.0154,-0.1058,-5.8870
1740021140.5252,0.0041,0.1640,-0.0165,-0.1315,-7.0920
1740021140.5352,0.0055,0.1135,-0.0175,-0.0578,-4.7366
1740021140.5452,0.0068,0.1784,-0.0183,-0.1577,-8.5562
1740021140.5552,0.0084,0.1233,-0.0196,-0.0773,-6.0441
1740021140.5652,0.0098,0.1854,-0.0206,-0.1732,-9.7706
1740021140.5752,0.0114,0.1216,-0.0220,-0.0802,-6.8403
1740021140.5852,0.0127,0.1787,-0.0230,-0.1688,-10.3136
1740021140.5952,0.0142,0.1110,-0.0242,-0.0704,-7.1795
1740021140.6052,0.0154,0.1609,-0.0251,-0.1486,-10.2508
1740021140.6152,0.0168,0.0936,-0.0262,-0.0511,-7.1022
1740021140.6252,0.0178,0.1473,-0.0269,-0.1353,-10.3516
1740021140.6352,0.0190,0.0803,-0.0278,-0.0385,-7.2056
1740021140.6452,0.0200,0.1595,-0.0286,-0.1612,-11.8460
1740021140.6553,0.0211,0.0621,-0.0294,-0.0191,-7.0532
1740021140.6652,0.0222,0.2107,-0.0304,-0.2458,-15.4862
1740021140.6752,0.0239,0.1171,-0.0323,-0.1094,-11.2051
1740021140.6852,0.0255,0.2563,-0.0341,-0.3225,-19.3714
1740021140.6952,0.0272,0.0965,-0.0360,-0.0873,-11.5703
1740021140.7052,0.0285,0.2149,-0.0374,-0.2693,-18.5333
1740021140.7152,0.0301,0.0969,-0.0394,-0.0974,-13.0228
1740021140.7252,0.0315,0.2375,-0.0410,-0.3137,-21.2797
1740021140.7352,0.0333,0.1048,-0.0433,-0.1202,-15.1158
1740021140.7452,0.0345,0.1882,-0.0447,-0.2513,-20.3058
1740021140.7552,0.0358,0.0575,-0.0464,-0.0614,-14.1088
1740021140.7652,0.0363,0.0884,-0.0470,-0.1146,-16.2915
1740021140.7752,0.0367,-0.0178,-0.0474,0.0379,-11.1112
1740021140.7852,0.0362,-0.0548,-0.0466,0.0862,-9.3201
1740021140.7952,0.0353,-0.1227,-0.0452,0.1809,-5.7119
1740021140.8052,0.0339,-0.1921,-0.0432,0.2785,-1.8062
1740021140.8152,0.0318,-0.2039,-0.0403,0.2893,-0.7826
1740021140.8252,0.0292,-0.3549,-0.0365,0.5090,7.9415
1740021140.8352,0.0258,-0.3047,-0.0317,0.4271,6.1877
1740021140.8452,0.0221,-0.4983,-0.0264,0.7117,17.6557
1740021140.8552,0.0180,-0.3386,-0.0207,0.4667,10.3513
